text,label,lang
camel amp cow ki entry fee goat ki entry fee rakhi gai hy,negative,roman_ur
hahahahhahahahahaah,neutral,roman_ur
اهم نفط البصره بلاش ياخذوه خاووووه يتظاهرون الحدود على شنو فجروه انبوب تزويدهم بالنفط وقطعو تريلات النفط وهمه يجوز مثل الجلاب يتوسلون احنه نخوط بصف الاستكانه,negative,ar
And guess what?,neutral,en
اس دوا کی تاثیر پر مجھے شک ہے۔,negative,ur
خاتم ذهبي يجسد جمال ورقي الذهب شحن لجميع الولايات التركية رقم الموديل خواتم بلاكات اساور سلاسل كفذهب طوق سوريا العراق فلسطين الاردن السعودية الامارت قطر الخليج عروس مجوهرات سبائكعيار تيكتوك اكسبلور,positive,ar
ترامب كذاب، قاعدة عين الاسد مُسحت فيها مباني مرافق,negative,ar
كان سؤال ليش جواسيس كتائب القسام كان الجواب انه عندهم طرق كثيره لكشف الجواسيس هاي الطرق المراقبه لوقت طويل مثلا الجاسوس والخاين اشياء يقدر يستمر عليها لوقت طويل مثل المداومه على صلاة الفجر قيام الليل وغيرها عجيب,negative,ar
Those other places just seemed to carrying my daughter around the pool without actually teaching her anything because she was young.,negative,en
"I said thank you!""",positive,en
دواؤں کی قیمتوں میں مسلسل اضافہ غریب عوام کے لیے ناقابل برداشت ہے۔,negative,ur
ملک کی ترقی کے لیے آبادی کا کنٹرول ضروری ہے۔,positive,ur
or ya theak nahi ha jab intne facilities han to apni zindagi ko mushkil ma dalna or apna ghar waloon ko azab ma dalna wrong han,negative,roman_ur
المُهان الذي يترك قضيته ولا يثور أهل غزة ذاتهم المقاومة، فلا داعي للمزايدة على أهل القطاع فأهل مكة أدرى بشعابها سُيهزم الجمع ويولّون الدُبر,negative,ar
مجھے مدد کی ضرورت ہے۔,neutral,ur
un ke khotot is ki waze missal hain,positive,roman_ur
kal ki eid subko mubarak qatil ho qatil,positive,roman_ur
It is exciting to find a place that looks like you will love everything on the menu.,positive,en
No wait..the decor also fine.,positive,en
ek toapmera naam tag karti ho sam main parh kar mare jate han hyeeeeee,negative,roman_ur
آبادی کا کنٹرول ہی ترقی کی کنجی ہے۔,positive,ur
اس کا کام بہت خراب ہے۔,negative,ur
تقول شليّة غنم,negative,ar
GO TO AVONDALE NISSAN!,positive,en
یہ نیا لباس مجھے بہت اچھا لگ رہا ہے۔,positive,ur
یہ آبادیاتی رپورٹ بہت اہم ہے۔,positive,ur
The bagel bites were familiar so it seemed best to order something safe.,neutral,en
bhai pless is video ko agae bhi banao bhai,positive,roman_ur
saalon main bhi bahut kuch kya hai baji knowledge nahi apko saalon ka ganjay aye zardari ny kya kya loot mar ky ilawa yai batao,positive,roman_ur
The Country Bears wastes an exceptionally good idea .,negative,en
یہ ایک عام سوال ہے۔,neutral,ur
میرا فون خراب ہو گیا ہے۔,negative,ur
aree wah mohlat drame ka salman here qatil khalid ky roop me,neutral,roman_ur
afrad janbahaq,negative,roman_ur
اس ہسپتال میں صحت کی سہولیات بہت اچھی ہیں۔,positive,ur
حكولك ادخل حرب سمح الله حكولك بدنا مواد تمونية ازاي الواك تعال حارب,negative,ar
یہ ایلوپیتھک ادویات بہت مؤثر ہوتی ہیں۔,positive,ur
عاجل الاحتلال الإسرائيلي يُمطر مُخيم الشاطئ غرب غزة بالقنابل الفسفورية المُحرمة دولياً الآن,negative,ar
I've been to Rodi many times over the last 11 years.,positive,en
I bit into it.,neutral,en
The spicy chicken was not too bad for a $1!,positive,en
sylvester stallone ne apne career mein ziyada tawajja action films par he markooz rakhi hai,neutral,roman_ur
اس اسکول میں طلبہ کے لیے کمپیوٹر لیب موجود نہیں ہے۔,negative,ur
wo aik tu wo murtadd dosra sari dunya mein na sirf zina karti phirti hea balkay media mein uss ki tashheer b karti hea,negative,roman_ur
همسة الصباح إنما يجزع الذي ليس عنده سوى حسابات الدنيا الفانية، ولا يؤمن بوعد الله بالعاقبة لأهل التقوى أما المؤمن فيحسن الظن بربه، ويعلم أمره كله خير، فهو متقلب بين شكر وصبر ورضا وتوكل ويقين صباح الاربعاء,positive,ar
"It gets crazy messy, melty, and for once, there is no amount of (Yelp traditional) hyperbole to explain myself.",neutral,en
har paper mein yehi gaana yaad aata hai,negative,roman_ur
کیا آن لائن کورسز کے سرٹیفیکیٹس درست تسلیم کیے جائیں گے؟,neutral,ur
katrina abhi choti hi thi ke un ke walden ke darmiyan talaq ho gai,negative,roman_ur
We found her a little late.,negative,en
gul ji any timeapk liye to hmaisha sy well come han,positive,roman_ur
ابن كلب بخطىء على الاردن بكلمه,negative,ar
جايينك عالاي وينك,neutral,ar
please aesa duosra drama kohi banaye mery or batuhan ka,neutral,roman_ur
حکومتی کوششیں آبادی کے کنٹرول میں مددگار ثابت ہو رہی ہیں۔,positive,ur
فعلا قمة الاشمئزاز والحقارة المستعربين الي بشتغلو شغل الصهاينة واكثر فاهم عاملهم وليش بحقدو عليه شخص يتعرض وطنه للاحتلال العدوان سيقاوم المقاومة وربي يرحم اهلنا بغزة وينصرهم ويحرر فلسطين وربي يحرق بني صهيون وربي يديم الامن والامان على وطني الاردن,positive,ar
We played with her and she cooperated with us.,positive,en
كان العربان صادقين لأوقفوا الغاز والنفط أوروبا عندها ستتوقف الإبادة أقل ساعة شيء غير ذلك قيمة ولا أحد يسمع يهتم,neutral,ar
شہروں میں آبادی کا ارتکاز ایک سنگین مسئلہ ہے۔,negative,ur
in ke aik maghrabi maddah ne aik dafa kaha tha ke nusrat ki gaeyki ap ko dawat deti hai chupke se kaan laga kar is guftugo ko sunne ki jo aik bandey air us ke rab ke darmiyan hoti hai,positive,roman_ur
یہاں کی ہوا صاف نہیں ہے۔,negative,ur
اس تقریب کا انتظام بہت اچھا تھا۔,positive,ur
kumb mela me mujra nahi hota re kwe teri mecca madina me sex shoe hota hoga incest ke paidaish,neutral,roman_ur
میں اپنی تعلیم مکمل کرنا چاہتا ہوں۔,positive,ur
It must've been a marbled cut for it to be that tender.,positive,en
The filet cut so easily.,positive,en
میں ہسپتال کے عملے کی کارکردگی سے ناخوش ہوں۔,negative,ur
"On the other hand...the waiter was fast, honest and courteous.",positive,en
صحت کے شعبے میں اصلاحات کی اشد ضرورت ہے۔,negative,ur
یہ جگہ بہت پرامن ہے۔,positive,ur
سؤال مهم وخطير الي يوم بالسهرة بسأل فيلم أكشن ورعب مشان الشتاء مكتفي مكتفي بالاكشن الي بتعمله امريكا واسرائيل فينا الأفلام مقاطعة قبل التشوكليت وستاربكس والبيبسي,neutral,ar
اللهم انّ نستودعك غزة واهلها، ارضها وسماها، رجالها ونسائها واطفالها، فاحفظهم بعينك التي تنام وارحم عجزهم,positive,ar
inho ne dosri jangeazeem ke zamane mein fauji geet likhe the aur geet ko bhi inho ne nae peykar ata kiye,positive,roman_ur
wazeer da mun wakho yai hen is qabil na ahl ky wazren milenbin ko lot kar kha gye punjab ko yai harami,neutral,roman_ur
They gave me the complete run-around!!!,negative,en
میں دل کی بیماریوں کے علاج کے لیے ایک اچھے کارڈیالوجسٹ کی تلاش میں ہوں۔,neutral,ur
inhe masroofyat ki waja se unhay yakebad degare kai mulkon main rahna para,negative,roman_ur
A creaky staircase gothic .,neutral,en
کیا کوئی قدرتی طریقہ ہے جو جلد کی بیماریوں کا علاج کر سکے؟,neutral,ur
"Payami tries to raise some serious issues about Iran 's electoral process , but the result is a film that 's about as subtle as a party political broadcast .",negative,en
nawaz shareef daku hai,negative,roman_ur
انتي اللي خاينه ولا مندسه هذول اللي قرقعونا بالوطنيه الزائفه وغزه وسواليفهم الهامله وهم قصدهم فقط تدمير الاردن بايعازات الاخونج واسرائيل وايران,negative,ar
آبادی کی کثافت کے لحاظ سے یہ علاقہ بہت زیادہ ہے۔,negative,ur
رأيك مهم,neutral,ar
فجر اليوم اللهمَّ اكتب تغييراً للأفضل نفسي وحالي، وحقّق أتمنى، ولا تجعلني وجعاً ولا عبئاً لأحدٍ خلقك، اللهُمّ تحرمني خَيرك بقلةِ شُكري ولا تخِذلني بقلةِ صَبري، ولا تُحاسِبني بقلةِ اسَتغفاري، فأنت الكريمُ الذي وسِعَت رحَمتكَ كُل شيء,positive,ar
بعثة إيران لدى الأمم المتحدة الوضع يخرج نطاق السيطرة إذا تتوقف جرائم الحرب والإبادة الجماعية التي تنفذها إسرائيل فلسطين غزة طوفانالأقصى هناالمملكة,negative,ar
The food combo did not mix well.,negative,en
میں نے کل رات اپنے بچے کے لیے دوا خریدی تھی۔,neutral,ur
الله يحفظ الاردن ويعينكم على المجنسين الي يبون يخربون البلد,negative,ar
miss those midnight snacks,positive,roman_ur
ayesha khan tab usy pyar ni tha ab ho gaya to kya kry wo,positive,roman_ur
زچگی کے دوران شرح اموات زیادہ ہے۔,negative,ur
آپ کی طرف سے فراہم کردہ صحت کی معلومات بہت مفید ہیں۔,positive,ur
yhan y or waha meerub or rakshy wala astagfirullah,neutral,roman_ur
حسبنا الله ونعم الوكيل فيكم عرب,negative,ar
"Changed to Dr. Rapacz a couple of years ago out of frustration with my corporate conglomerate dental ""provider"".",negative,en
الجيش الذي يقهر طرشوه بالكندره راسه طوفانالاقصى فلسطين غزة عاجل يديعوت أحرونوت إحدى القواعد العسكرية التي اقتحمها مسلحو حماس مقر قيادة فرقة غزة الجزيرة عمليةطوفانالأقصى,negative,ar
حکومتی اقدامات سے صحت کا معیار بہتر ہوا ہے۔,positive,ur
ameer hai allah isko deay hai ise liye tareef kar raha hai,neutral,roman_ur
عاجل مجددا صفارات الإنذار تدوي مدينة بئر السبع طوفانالاقصى كتايبالقسام بئرالسبع غزة,neutral,ar
ذنب الحمار المسكين لكن فعلا الحمير الحقيقية,negative,ar
Boti wrap was a little too salty.,negative,en
What!?!?,neutral,en
badruddin shah salamat raho apki ammi,neutral,roman_ur
مجھے فلم کی ٹکٹ نہیں ملی۔,negative,ur
یہ ہوٹل بہت پرسکون ہے۔,positive,ur
المقاومة للنهاية استطلاع السفارة الامريكية الاردن طوفانالاقصى,neutral,ar
صباح الصبر الصمود الثبات النصر باذن الله,positive,ar
فعالياتتعليميةشمالالباطنة احرص على يكن لرسالتگ أثرا خالدا ،كن على يقين المعروف ينسى قلوب الأوفياء كسبت الليلة روحا تشبه الجنة عنوان مقال خطته قائدة وملهمة شموع الوطن أآسيا الفارسي فيه لكل يعقل خلف السطور العبر يگفى لينر حنايا العالم,positive,ar
بچوں کی شرح اموات کو کم کرنے کی ضرورت ہے۔,negative,ur
الحمد على وعده الذي ننتظره على مهل ولا نستعجله الحمد لله الذي يخلف الميعاد,positive,ar
tanvi patil hahaha it says ao logoun ko judge kartay hein,neutral,roman_ur
الكنيست الاسرائيلي يعلن تشكيل حكومة حرب الحرب بدأت هذه اللحظة يعني راح يتم إشراك دول اخرى اللهم اعز الاسلام والمسلمين طوفانالاقصى,neutral,ar
"Overall, with the breakdown he provided I didn't see any out of the ordinary costs so I agreed to the upgrade.",neutral,en
میں نے اس گاڑی کی مرمت کروانی ہے۔,neutral,ur
اساتذہ نے امتحانات میں غیر ضروری سختی کی ہے۔,negative,ur
یہ گاڑی بہت مہنگی ہے۔,negative,ur
کیا طلبا کے لیے اس سال اسکالرشپ کی سہولت دستیاب ہوگی؟,neutral,ur
مجھے اپنے بچے کے داخلے کے بارے میں معلوم کرنا ہے۔,neutral,ur
كبرنا وعرفنا الإبرة تضيع كومة لكن نجدها النهاية وأن سـحابة الصيف فيها حتى وإن تمطر وأن يتمنّى المرء يدركه صمّم واجتهد كبرنا وعلمنا مشكلة وقعنا بها تأخذ قوتنا شيئًا صنعَت منّا أشخاصًا أفضل دون نشعر,positive,ar
college ki rasmi taleem diploma hasil karne par khatam ho gai tahum us ki ghair rasmi taleem kabhi khtam na hoi aur ingrezi francici aur german kutub ko parhti rahi aur naye josh o kharosh se likhti rahi,positive,roman_ur
"The gel wall only allows you to preview colors in the bottle, they don't have samples painted on nails.",neutral,en
razia sheer khan humare mulk ke bare shearon mein tartan track to hain lekin is ki maintenance nahi,negative,roman_ur
یہ عمارت بہت خوبصورت بنی ہے۔,positive,ur
kyn k tu khud ek kamyab aurat hai lol apni mehnat se,positive,roman_ur
آبادی میں تیزی سے اضافہ تشویشناک ہے۔,negative,ur
نحن معنا الله نعم المولى ونعم النصير كلنا أمل بنصر شاء الله,positive,ar
asif momin hakir nahi fakir hai mera sabar us ny sameta hai,negative,roman_ur
محکمہ کی کارکردگی تسلی بخش نہیں۔,negative,ur
آبادی کا صحیح اعداد و شمار ملک کی ترقی کے لیے اہم ہے۔,positive,ur
I'd try it again though to give myself a better feel for it.,neutral,en
sindh assembly me ky akhtyarat me tausee ky hawaly se opposition ka sakhat ahtijaj ijlaas kal bajy tak multavi,negative,roman_ur
Unfortunately to my utter dissapointment is did not even come close to how good Poncheros is.,negative,en
"You will love it like it did, for the expensive cost of it.",positive,en
مجھے دوائی کی خوراک کے بارے میں پوچھنا تھا۔,neutral,ur
کیا اس بیماری کا کوئی علاج موجود ہے؟,neutral,ur
اساتذہ کی کمی محسوس ہو رہی ہے۔,negative,ur
hahha wife han yea agentitni shaakie d end of it its funny,positive,roman_ur
فالج کے مریضوں کے لیے مخصوص سہولیات کی کمی ہے۔,negative,ur
I had the jerk chicken with Mac & Cheese with Cabbage.,neutral,en
الله يرحمه ويغفر ويسكنه الجنة شاء الله رجل عربي صادق خدم وطنه وامته وكان مدافعاً قويا العرب ومصالحهم الاعلام دون تمييز تحيز تعازينا لاسرته الكريمة والاشقاء الاردن العزيز جميعًا وانا لله وانا اليه راجعون عظم الله اجركم جميعا,positive,ar
The Greek salad was my favorite item on the menu.,positive,en
لااااااااااا حول قوة الا بالله العلي العظيم,negative,ar
للاسف انك اشرت الخليج امريكا وهذا غير صحيح وقف الاردن الخطه وللاسف حماس تنفذ اجندة ايران لتنفيذ الخطه والقيادة الاردنية حكيمة ولاكن يمكن تحمل مغامرات حماس وانجرارها وراء ايران التي ورطتها وتخلت عنها كما قال ابو مرزوق استمرارهذا الوضع خطر على الاردن وفلسطين,negative,ar
is tarha se is nakamion ky silsilay ky baad sentec ki kahani ka ikhtetam hota hai,negative,roman_ur
ap apnay kapron main b chaee walay lagtay ho,negative,roman_ur
مجھے بخار اور کھانسی ہے۔,neutral,ur
"Again, the same day we called AHWA they had someone to look at our 2 AC units. It was amazing.",positive,en
"Seems to me almost every single review I read whether on line or thru the yelp app (which is where I currently am) the vast majority are all extremely positive & boast about wonderful customer service, & on time business practice.",positive,en
My wine glass sat empty for quite some time before he came around and I had to ask him for a glass as he didn't offer if I'd like another.,negative,en
بعد كلام اسير طلع عند المقاومة وشاف كيف التعامل معهم بحقلهم يحكوا المقاومة ارهاب حماس القسام بعرفوا منيح رحمت ربنا وماشين عليها حتى كان عدو هذا ديننا الرحيم غزة أسيرة أفرجت عنها كتائب القسام أمس تتحدث للإذاعة العامة تعاملوا معنا باحترام، ووفروا لنا الدواء واهتموما بنظافتنا، وأحضروا أطباء لفحصنا لقد كانوا غاية الود,negative,ar
غزة يُستشهد شخص دقيقة ونصف أطفال يستشهدون ساعة نساء يستشهدن ساعة,negative,ar
"The bar was crowded and understaffed, leading to a bit of a wait for a drink.",negative,en
btwaplgty b wesi hn,neutral,roman_ur
me inkar k siwa kuch b nhi,negative,roman_ur
is parcham k saay taly hum aik hyn perfect,neutral,roman_ur
صحت مند نتائج کے لیے صبر بہت ضروری ہے۔,positive,ur
kajoor khlain,neutral,roman_ur
`` One look at a girl in tight pants and big tits and you turn stupid ? '',negative,en
Our home warranty company sent a plumber out to do the same job but strung us along for 3 weeks.,negative,en
"In terms of the food,  I quite enjoyed the clam chowder and steak frites.",positive,en
I've been trying to find a good wing place.,neutral,en
"Now, the best part...",neutral,en
حکومت کو صحت کے شعبے میں مزید سرمایہ کاری کرنی چاہیے تاکہ عوام کو بہتر طبی سہولیات میسر آ سکیں۔,neutral,ur
I know they are like this at every location as I have had to have my tires checked at a few others.,neutral,en
نبشركم بظهور وصي ورسول الإمام المهدي السيد أحمد الحسن وهو اليماني عند الشيعه والمهدي الذي يولد آخرالزمان عند السنة والجماعة المنقذ والمخلص الذي بشرت جميع الديانات السماوية للمزيد اطغط على الرابط التالي,negative,ar
یہ بہت اچھا خیال ہے۔,positive,ur
Where should I start.,neutral,en
Unnnnntil i see him pour the same kinda shot to everyone else.,neutral,en
آبادی کے اعداد و شمار کس سال کے ہیں؟,neutral,ur
عادي يخوي مظاهره بهل حجم بعض الجهلاء واصحاب السوابق بفتعلو المشاكل معنى اتشكك بسلمية الاحتجاج ولا الناس الشريفين الموجودين سواء اردني فلسطيني بلمسميات الي بتحبها اني بعتبر انو الكل اخوان سواء الدين وشركاء بلأرض شاء شاء وابى ابى,positive,ar
مجھے اس جگہ پر پارکنگ کی سہولت نہیں ملی۔,negative,ur
jahil aurat bacho ko education ke bajaye road ki bt karahi ha,negative,roman_ur
batein nahi khwaab bs khwabbkhwaab khwabb reh jatay hain,negative,roman_ur
شہر میں تجاوزات کا مسئلہ سنگین ہے۔,negative,ur
یہ نصابی کتاب بہت دلچسپ ہے۔,positive,ur
yai bi ni kar skte acha ho to in ka kamal or na ho to climate change ky effects,positive,roman_ur
So naturally with Cibo being a new restaurant I wanted to check it out and see what everyone was raving about.,neutral,en
yar yai song sunky na dil ko sakon milta hai,positive,roman_ur
ہمیں جلد سے جلد جواب درکار ہے۔,positive,ur
يمضي الأمر مازال يحدث هنا قلبي,neutral,ar
jab bijli ka bill in logo ka ghar pounch jatay han to aaty ka ek thala ku nahi pounch sakta,positive,roman_ur
nawaz shareef ka paigham hai kya corrupt ko izzat do,negative,roman_ur
I found a few websites suggesting other steakhouses but I found them all to be owned by famous people and didn't want to dine at place based on being known by their owners.,neutral,en
شہریوں کی تعداد میں مسلسل اضافہ ہو رہا ہے۔,neutral,ur
ap bht khbsoorat lg rhe ho,positive,roman_ur
"As far as I can tell, they dont take kindly to yuppies, trendies and hipsters.",negative,en
"If you're going before 7pm you should try to park in the neighborhood behind the restaurant if you can, on-street parking out front is limited at certain times.",neutral,en
Sip Coffee & Beer is right off Indian School and used to be an quick lube and oil change place.,neutral,en
بڑھتی ہوئی آبادی معاشی ترقی میں رکاوٹ بن رہی ہے۔,negative,ur
merii aadhi eid hogaii,positive,roman_ur
They even made a roll that used to be on their menu but hadn't been for a long time!,positive,en
mar hi jaawan yar soo cute sarah,positive,roman_ur
أسهم أوروبا تهبط لأدنى مستوى أشهر أخبارحياة حياةافام طوفانالاقصى غزة,negative,ar
الوحدة الاسرائيلية الاعلامية تختبيء وراء عملاء بمسميات ومعرفات منصة اكس الفيس بوك الانستجرام ومنتديات وغيرها أهداف «الوحدة المساهمة تقديم رؤية اعلامية استخبارية متكاملة وموجهة المعلومات التي توفرها المصادر البشرية القائمة على العملاء تهدف كذلك التأثير على الراي العام جلب المعلومات المهمة وتعتمد على طرق العمل المجال الاستخباري وهي الرصد الاعلامي التنصت والتصوير والتشويش ويتطلب هذا النوع المهام مجالا واسعا وسائل التقنية المتقدمة خاصة الاعلامية حيث يقوم مجمع الصناعات العسكرية الصهيونية الذي تملكه الحكومة خصيصا بتوظيف عرب ناطقين بالعربية خاصة الدروز والمرتزقة العرب الدول الاخرى خاصة مصر لبنان الاردن وسوريا المغرب برواتب ومهام اعلامية تقوم الوحدة بتطوير أجهزة إلكترونية بناء على طلبات خاصة القائمين على «وحدة التي يقودها ضابط كبير برتبة عميد مخابرات فانتبهوا الحسابات التي تنقل اخبار الصراع فلسطين المحتلة والمسماة مثلا بأحداث رؤى قنوات اخبارية تحليلات الخ فهي تهدف الى اجندة اسرائيلية استخباراتية اعلامية تجسسية,neutral,ar
زیادہ آبادی سے وسائل پر دباؤ بڑھتا ہے۔,negative,ur
"White has n't developed characters so much as caricatures , one-dimensional buffoons that get him a few laughs but nothing else .",negative,en
bkwas tareen itna ghtiya meterial,negative,roman_ur
people wo r commenting on his age and ability excuse me it is possible that he was born in kuwait secondly the people wo do job in kuwait or any gulf country do not earn millions of dollars thay mostly get aa normal salary which can be between vn to vpvn pkr rent per month is minimum vn pakar for vpbhk or aa big studio other expenses make upto minimum pkr whats left behind,neutral,roman_ur
کیا آبادی کے کنٹرول کے لیے کوئی نئی پالیسی متعارف کرائی گئی ہے؟,neutral,ur
"A vast majority of the time, my experiences are fast and efficient.",positive,en
اس دوا سے مجھے کافی آرام آیا ہے، شکریہ۔,positive,ur
والله والنعم,neutral,ar
عليك رؤيالاتمثلنا,neutral,ar
سوف تكون فلسطين قبر لكم,neutral,ar
advertisement madar cho qatil,neutral,roman_ur
یہ کتاب مجھے بالکل پسند نہیں آئی، وقت کا ضیاع تھا۔,negative,ur
It is one more celluloid testimonial to the cruelties experienced by Southern blacks as distilled through a Caucasian perspective .,neutral,en
"If I could have married that steak, I would have called for a justice of the peace right there.",positive,en
مساء الطيبه والرقه ربوع البلقا للكرك واهلها,positive,ar
Oh you thought I was finished after the smoothie?,neutral,en
The number of 5 star Yelp reviews (Jeff S included) encouraged me to get off my butt and give this place a try.,positive,en
Ordered the haddock and chips.,neutral,en
یہ نیا دواخانہ بہت اچھی سہولیات فراہم کر رہا ہے۔,positive,ur
kah kar gulzar sahab ny raghib kya jabkay panjwani sahab ko nashtay ki lalach se badshah salamat ny mael kiya,positive,roman_ur
"... the same tired old gags , modernized for the extreme sports generation .",neutral,en
"Vaguely interesting , but it 's just too too much .",negative,en
اس نے مجھے غلط معلومات دی۔,negative,ur
vagebul qatal kay naray chaltai,negative,roman_ur
